src_ip,dst_ip,src_port,dst_port,protocol,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,avg_pkt_size,pkt_size_entropy,duration,pkt_rate,byte_rate,syn_count,fin_count,rst_count,ack_count
131.202.240.150,173.252.79.86,52729,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.086285,0.01809601489899194678703954817,1.655785363257763131014118658,1,1,0,7
131.202.240.150,173.252.79.86,46623,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.086308,0.01809601395752794949713755894,1.655785277113807378988086643,1,1,0,7
131.202.240.150,173.252.79.86,51767,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.086094,0.01809602271724023058730275284,1.655786078627481098738201885,1,1,0,7
131.202.240.150,173.252.79.86,37578,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.086095,0.01809602267630697590703457886,1.655786074882088295493663966,1,1,0,7
131.202.240.150,173.252.79.86,60232,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.085974,0.01809602762923213664317701244,1.655786528074740502850696638,1,1,0,7
131.202.240.150,173.252.79.86,52981,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.085495,0.01809604723629306136814101987,1.655788322120815115184903318,1,1,0,7
131.202.240.150,173.252.79.86,36199,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.085681,0.01809603962269024497086120281,1.655787625476157414833800057,1,1,0,7
131.202.240.150,173.252.79.86,32840,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.085528,0.01809604588549209419042552327,1.655788198522526618423935379,1,1,0,7
131.202.240.150,173.252.79.86,59929,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.085489,0.01809604748189325888504790982,1.655788344593233187981883748,1,1,0,7
131.202.240.150,173.252.79.86,36699,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.085509,0.01809604666322595975431531279,1.655788269685175317519851120,1,1,0,7
131.202.240.150,173.252.79.86,60735,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.085355,0.01809605296696607378002829341,1.655788846477395750872588847,1,1,0,7
131.202.240.150,173.252.79.86,44671,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.085324,0.01809605423590130307062624861,1.655788962584969230962301748,1,1,0,7
131.202.240.150,173.252.79.86,50972,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.085429,0.01809604993789560071657552866,1.655788569317447465566660873,1,1,0,7
131.202.240.150,173.252.79.86,42685,3478,TCP,9,0,810,0,90.0,1.879964948727111,442.085217,0.02035806594274786618797977133,1.832225934847307956918179420,1,1,0,8
131.202.240.150,173.252.79.86,50696,443,TCP,9,0,810,0,90.0,1.879964948727111,442.085366,0.02035805908128612427311154199,1.832225317315751184580038779,1,1,0,8
131.202.240.150,173.252.79.86,54321,3478,TCP,9,0,810,0,90.0,1.879964948727111,442.085342,0.02035806018648770309149946890,1.832225416783893278234952201,1,1,0,8
131.202.240.150,173.252.79.86,57237,443,TCP,9,0,810,0,90.0,1.879964948727111,442.085174,0.02035806792290211478569059636,1.832226113061190330712153672,1,1,0,8
131.202.240.150,173.252.79.86,0,0,OTHER,30,0,4308,0,143.6,0.9967916319816366,0.833857,35.97739180698848843386815725,5166.353463483546939103467381,0,0,0,0
54.247.90.74,131.202.240.150,443,49884,TCP,0,7,0,493,70.42857142857143,0.5916727785823275,40.829297,0.1714455186431448966657446980,12.07466295586720486517316230,0,1,0,7
54.247.90.74,131.202.240.150,443,49879,TCP,0,7,0,493,70.42857142857143,0.5916727785823275,40.829253,0.1714457034029008564031284138,12.07467596823287460096318686,0,1,0,7
54.247.90.74,131.202.240.150,443,49882,TCP,0,7,0,493,70.42857142857143,0.5916727785823275,40.787597,0.1716207993326991045831898359,12.08700772443152265135894130,0,1,0,7
54.247.90.74,131.202.240.150,443,49883,TCP,0,7,0,493,70.42857142857143,0.5916727785823275,40.787556,0.1716209718473938472802832315,12.08701987439502381559709045,0,1,0,7
54.247.90.74,131.202.240.150,443,49885,TCP,0,7,0,493,70.42857142857143,0.5916727785823275,40.790582,0.1716082403531285726690538517,12.08612321344176947512050698,0,1,0,7
173.252.79.86,131.202.240.150,3478,55942,TCP,0,5,0,518,103.6,1.9219280948873623,442.007177,0.01131203351478611850684949398,1.171926672131841877309607577,1,1,0,5
173.252.79.86,131.202.240.150,443,51936,TCP,0,5,0,518,103.6,1.9219280948873623,442.007241,0.01131203187687144699966578149,1.171926502443881909165374963,1,1,0,5
173.252.79.86,131.202.240.150,3478,56182,TCP,0,5,0,518,103.6,1.9219280948873623,442.007205,0.01131203279819839135880149284,1.171926597893353344771834658,1,1,0,5
173.252.79.86,131.202.240.150,443,41241,TCP,0,5,0,518,103.6,1.9219280948873623,442.007075,0.01131203612521360659215692418,1.171926942572129642947457346,1,1,0,5
173.252.79.86,131.202.240.150,3478,41031,TCP,0,5,0,518,103.6,1.9219280948873623,442.006808,0.01131204295839714758420644055,1.171927650489944489723787241,1,1,0,5
173.252.79.86,131.202.240.150,443,50250,TCP,0,5,0,518,103.6,1.9219280948873623,442.006593,0.01131204846077940742390690991,1.171928220536746609116755867,1,1,0,5
173.252.79.86,131.202.240.150,3478,45349,TCP,0,5,0,518,103.6,1.9219280948873623,442.006390,0.01131205365605687284294690853,1.171928758767492026529299723,1,1,0,5
173.252.79.86,131.202.240.150,443,52729,TCP,0,5,0,518,103.6,1.9219280948873623,442.006334,0.01131205508923770309590178859,1.171928907245026040735425298,1,1,0,5
173.252.79.86,131.202.240.150,443,51767,TCP,0,5,0,518,103.6,1.9219280948873623,442.006283,0.01131205639445627518376248964,1.171929042465670109037793927,1,1,0,5
173.252.79.86,131.202.240.150,3478,37578,TCP,0,5,0,518,103.6,1.9219280948873623,442.006285,0.01131205634327122746682210639,1.171929037162899165562770222,1,1,0,5
173.252.79.86,131.202.240.150,3478,46623,TCP,0,5,0,518,103.6,1.9219280948873623,442.006388,0.01131205370724189624155386641,1.171928764070260450624980560,1,1,0,5
173.252.79.86,131.202.240.150,443,60232,TCP,0,5,0,518,103.6,1.9219280948873623,442.005863,0.01131206714332655809137988742,1.171930156048631418266956337,1,1,0,5
173.252.79.86,131.202.240.150,3478,52981,TCP,0,5,0,518,103.6,1.9219280948873623,442.005576,0.01131207448839966670465713763,1.171930916998205470602479458,1,1,0,5
173.252.79.86,131.202.240.150,443,36199,TCP,0,5,0,518,103.6,1.9219280948873623,442.005646,0.01131207269691754118453047996,1.171930731400657266717357724,1,1,0,5
173.252.79.86,131.202.240.150,3478,32840,TCP,0,5,0,518,103.6,1.9219280948873623,442.005479,0.01131207697088297857954833180,1.171931174183476580841207174,1,1,0,5
173.252.79.86,131.202.240.150,443,59929,TCP,0,5,0,518,103.6,1.9219280948873623,442.005441,0.01131207794340251119216426116,1.171931274936500159508217457,1,1,0,5
173.252.79.86,131.202.240.150,3478,36699,TCP,0,5,0,518,103.6,1.9219280948873623,442.005596,0.01131207397654757294068285959,1.171930863970328556654744254,1,1,0,5
173.252.79.86,131.202.240.150,443,60735,TCP,0,5,0,518,103.6,1.9219280948873623,442.005338,0.01131208057944313785640299213,1.171931548030309081923349985,1,1,0,5
173.252.79.86,131.202.240.150,3478,44671,TCP,0,5,0,518,103.6,1.9219280948873623,442.005090,0.01131208692641978398936537134,1.171932205577089621298252470,1,1,0,5
173.252.79.86,131.202.240.150,443,50972,TCP,0,5,0,518,103.6,1.9219280948873623,442.005185,0.01131208449511740456166820758,1.171931953694163112588826305,1,1,0,5
173.252.79.86,131.202.240.150,3478,42685,TCP,0,6,0,660,110.0,1.9182958340544896,442.005117,0.01357450348250153855119283608,1.493195383075169240631211969,1,1,0,6
173.252.79.86,131.202.240.150,443,50696,TCP,0,6,0,660,110.0,1.9182958340544896,442.005130,0.01357450308325606990127015042,1.493195339158167689139716546,1,1,0,6
173.252.79.86,131.202.240.150,3478,54321,TCP,0,6,0,660,110.0,1.9182958340544896,442.004683,0.01357451681117143276963877779,1.493196849228857604660265557,1,1,0,6
173.252.79.86,131.202.240.150,443,57237,TCP,0,6,0,660,110.0,1.9182958340544896,442.004498,0.01357452249275526603351443722,1.493197474203079263686588094,1,1,0,6
173.252.79.86,131.202.240.150,0,0,OTHER,0,30,0,3932,131.06666666666666,0.9967916319816366,0.948211,31.63852771165911384702350004,4146.756365408121188216546739,0,0,0,0
131.202.240.150,31.13.73.7,55349,443,TCP,8,0,609,0,76.125,2.1556390622295662,5.208316,1.536005111825012153640447315,116.9283891376790501958790519,0,1,3,5
31.13.73.7,131.202.240.150,443,55349,TCP,0,8,0,633,79.125,2.1556390622295662,5.084036,1.573552980348683604915464800,124.5073795700895902389361523,0,1,2,6
131.202.240.150,69.171.239.36,0,0,OTHER,24,0,1680,0,70.0,-0.0,0.320742,74.82649606225564472379669641,5237.854724357895130665768749,0,0,0,0
69.171.239.36,131.202.240.150,0,0,OTHER,0,24,0,1776,74.0,-0.0,0.558923,42.93972514997593586236386765,3177.539661098219253814926206,0,0,0,0
131.202.240.150,209.148.205.8,56906,443,TCP,6,0,425,0,70.83333333333333,1.4591479170272448,15.389464,0.3898771263248674547729537559,27.61629644801144471308422438,0,1,2,4
131.202.240.150,24.156.140.26,42210,443,TCP,14,0,953,0,68.07142857142857,0.9463729359854419,95.364025,0.1468058840846954603688340546,9.993286252336769552249918143,0,1,2,12
131.202.240.150,216.58.219.238,37055,80,TCP,7,0,462,0,66.0,-0.0,45.299445,0.1545272795284798743119258967,10.19880044887967170458710918,0,1,0,7
209.148.205.8,131.202.240.150,443,56906,TCP,0,4,0,317,79.25,0.8112781244591328,14.995973,0.2667382770027660092479494328,21.13900845246920623289999255,0,1,0,4
24.156.140.26,131.202.240.150,443,42210,TCP,0,13,0,911,70.07692307692308,0.39124356362925566,94.994671,0.1368497818156557434679677979,9.590011633389414023024512607,0,1,0,13
216.58.219.238,131.202.240.150,80,37055,TCP,0,6,0,396,66.0,-0.0,44.938791,0.1335149403552044824703895572,8.811986063443495843045710776,0,1,0,6
131.202.240.150,131.202.244.5,0,0,OTHER,36,0,3101,0,86.13888888888889,2.764276142160985,435.667751,0.08263177597462337762062172924,7.117809369369641500042999510,0,0,0,0
131.202.240.150,131.202.6.3,0,0,OTHER,26,0,4220,0,162.30769230769232,2.1451104143815827,435.668929,0.05967834350656665717834562400,9.686254215296588203562251280,0,0,0,0
131.202.244.5,131.202.240.150,0,0,OTHER,0,34,0,6461,190.02941176470588,2.5991287549524635,435.667578,0.07804115274329640384669616154,14.83011434924817838980893823,0,0,0,0
131.202.240.150,173.194.123.103,37673,443,TCP,5,0,330,0,66.0,-0.0,104.842723,0.04769048205663258097560094848,3.147571815737750344389662600,0,1,0,5
173.194.123.103,131.202.240.150,443,37673,TCP,0,6,0,459,76.5,0.6500224216483541,104.842273,0.05722882410227790463871381346,4.378005043824259704861606730,0,1,0,6
131.202.240.150,216.58.219.237,58829,443,TCP,5,0,330,0,66.0,-0.0,104.807852,0.04770634932962847096608754085,3.148619055755479083761777696,0,1,0,5
216.58.219.237,131.202.240.150,443,58829,TCP,0,6,0,459,76.5,0.6500224216483541,104.807877,0.05724760554018282423562496166,4.379441823823986054025309567,0,1,0,6
131.202.240.150,173.194.123.103,37675,443,TCP,4,0,264,0,66.0,-0.0,104.790396,0.03817143700840676277242048021,2.519314842554846342979751694,0,1,0,4
173.194.123.103,131.202.240.150,443,37675,TCP,0,6,0,459,76.5,0.6500224216483541,104.790275,0.05725722162672060933135255156,4.380177454444126613848470194,0,1,0,6
131.202.240.150,209.148.205.32,51533,443,TCP,7,0,629,0,89.85714285714286,1.9502120649147467,5.085254,1.376529077996890617459816167,123.6909700085777426260320527,0,1,2,5
209.148.205.32,131.202.240.150,443,51533,TCP,0,5,0,440,88.0,1.9219280948873623,5.075611,0.9851030742899721826593881998,86.68907053751755207402616158,0,1,2,3
131.202.6.3,131.202.240.150,0,0,OTHER,0,13,0,2850,219.23076923076923,1.1451104143815827,434.773166,0.02990064938828354461967875911,6.555142365892930935852651035,0,0,0,0
131.202.240.150,173.252.100.27,56825,443,TCP,22,0,2859,0,129.95454545454547,2.7303816178505813,182.990383,0.1202248972832632412163430468,15.62377187876589121079658050,1,1,3,18
173.252.100.27,131.202.240.150,443,56825,TCP,0,19,0,2385,125.52631578947368,3.391892644680932,182.863433,0.1039026758291254435762452300,13.04252009749811489101815123,1,1,2,17
131.202.240.150,216.58.219.238,47531,443,TCP,4,0,387,0,96.75,1.5,0.025790,155.0988755331523846452113222,15005.81620783249321442419542,0,1,0,4
216.58.219.238,131.202.240.150,443,47531,TCP,0,6,0,438,73.0,1.4591479170272448,0.025812,232.4500232450023245002324500,16968.85169688516968851696885,0,1,3,3
131.202.240.150,216.58.219.226,56170,443,TCP,4,0,387,0,96.75,1.5,0.026343,151.8429943438484606916448392,14690.80970276733857191663820,0,1,0,4
216.58.219.226,131.202.240.150,443,56170,TCP,0,6,0,438,73.0,1.4591479170272448,0.026340,227.7904328018223234624145786,16628.70159453302961275626424,0,1,3,3
131.202.240.87,131.202.240.150,0,0,OTHER,0,121534,0,113896888,937.1606957723765,7.486146003411792,429.632668,282.8788615301478890334289012,265102.9506908911312116517173,0,0,0,0
131.202.240.150,131.202.240.87,0,0,OTHER,120776,0,112048050,0,927.7344008743459,7.462737286130175,429.305215,281.3289840888608818786419820,260998.5765022677397478155489,0,0,0,0
173.252.79.94,131.202.240.150,0,0,OTHER,0,6,0,876,146.0,-0.0,0.514405,11.66396127564856484676470874,1702.938346244690467627647476,0,0,0,0
131.202.240.150,173.252.79.94,0,0,OTHER,6,0,1044,0,174.0,-0.0,0.514409,11.66387057769206992879207012,2029.513480518420167609820201,0,0,0,0
131.202.240.150,64.233.171.188,37692,5228,TCP,10,0,660,0,66.0,-0.0,405.504004,0.02466066894865975232145919822,1.627604150611543653216307082,0,0,0,10
64.233.171.188,131.202.240.150,5228,37692,TCP,0,10,0,660,66.0,-0.0,405.503887,0.02466067606400034335552497429,1.627604620224022661464648303,0,0,0,10
131.202.240.150,131.202.243.255,0,0,OTHER,7,0,1390,0,198.57142857142858,1.3787834934861753,392.918746,0.01781538822278537965200571011,3.537627089953096816612562435,0,0,0,0
131.202.240.88,131.202.240.150,0,0,OTHER,0,2,0,208,104.0,-0.0,300.056768,0.006665405394221936030451411114,0.6932021609990813471669467559,0,0,0,0
131.202.240.150,216.58.219.238,47553,443,TCP,18,0,2083,0,115.72222222222223,2.0558279011639637,240.082690,0.07497416827510554800931295796,8.676177362058047583522160636,1,1,0,17
131.202.240.150,216.58.219.238,0,0,OTHER,9,0,5173,0,574.7777777777778,2.94770277922009,0.223029,40.35349663048303135466688189,23194.29311883208013307686444,0,0,0,0
216.58.219.238,131.202.240.150,443,47553,TCP,0,16,0,1416,88.5,1.9237949406953985,240.082321,0.06664380756299002957406430605,5.897976969324617617304691086,1,1,0,16
216.58.219.238,131.202.240.150,0,0,OTHER,0,8,0,5094,636.75,3.0,0.170205,47.00214447284157339678622837,29928.61549308187186040363092,0,0,0,0
131.202.240.150,209.148.205.26,45114,443,TCP,11,0,1031,0,93.72727272727273,1.823067982273661,121.873632,0.09025742336127309310023680922,8.459582135042959907849468210,0,1,2,9
209.148.205.26,131.202.240.150,443,45114,TCP,0,7,0,710,101.42857142857143,1.8423709931771084,121.858428,0.05744370836623626886110823619,5.826433277146821555912406814,0,1,2,5
131.202.240.150,239.255.255.250,0,0,OTHER,9,0,1224,0,136.0,-0.0,242.002441,0.03718970752034687121193128792,5.057800222767174484822655157,0,0,0,0
131.202.240.150,216.58.219.227,0,0,OTHER,4,0,2022,0,505.5,2.0,0.095905,41.70794014910588603305354257,21083.36374537302538970856577,0,0,0,0
131.202.240.150,216.58.219.227,54338,443,TCP,16,0,1951,0,121.9375,2.216917186688699,240.080434,0.06664433137437597267922299741,8.126443156962970168572754246,1,1,0,15
216.58.219.227,131.202.240.150,443,54338,TCP,0,15,0,1350,90.0,2.0049355947431313,240.081035,0.06247890425830595073867454795,5.623101383247535566480709316,1,1,0,15
216.58.219.227,131.202.240.150,0,0,OTHER,0,3,0,1785,595.0,1.584962500721156,0.041917,71.57000739556743087530119045,42584.15440036262137080420832,0,0,0,0
131.202.240.150,173.194.123.99,0,0,OTHER,4,0,3514,0,878.5,2.0,0.098301,40.69134596799625639617094434,35747.34743288471124403617461,0,0,0,0
131.202.240.150,173.194.123.99,34183,443,TCP,17,0,1813,0,106.6470588235294,2.558051076544457,180.455219,0.09420619749434899968174375716,10.04681388572086684841184893,1,0,0,16
173.194.123.99,131.202.240.150,443,34183,TCP,0,14,0,5278,377.0,2.556656707462823,180.454454,0.07758190329843562631044839713,29.24837754351023111903904572,1,0,0,14
173.194.123.99,131.202.240.150,0,0,OTHER,0,3,0,1634,544.6666666666666,1.584962500721156,0.044450,67.49156355455568053993250844,36760.40494938132733408323960,0,0,0,0
131.202.243.27,131.202.240.150,4359,135,TCP,0,3,0,194,64.66666666666667,0.9182958340544896,1.014901,2.955953339291221508304750907,191.1516492741656575370405586,3,0,0,0
131.202.240.150,131.202.243.27,135,4359,TCP,3,0,162,0,54.0,-0.0,1.014934,2.955857228154737155322415054,159.6162903203558063874104129,0,0,3,3
131.202.243.27,131.202.240.150,4361,135,TCP,0,3,0,194,64.66666666666667,0.9182958340544896,1.028411,2.917121656613941313346512241,188.6405337943682049297411249,3,0,0,0
131.202.240.150,131.202.243.27,135,4361,TCP,3,0,162,0,54.0,-0.0,1.028418,2.917101801018651948915713261,157.5234972550072052414485161,0,0,3,3
131.202.243.27,131.202.240.150,4362,445,TCP,0,17,0,3087,181.58823529411765,3.616874605956222,12.695874,1.339017699766081484425570071,243.1498611281113848483373417,1,0,1,16
131.202.240.150,131.202.243.27,445,4362,TCP,16,0,2798,0,174.875,3.5,12.695467,1.260292354743626209260360411,220.3936255357916333444055268,1,0,0,16
61.240.144.67,131.202.240.150,60000,9200,TCP,0,1,0,60,60.0,-0.0,0.0,0,0,1,0,0,0
131.202.240.150,61.240.144.67,0,0,OTHER,1,0,82,0,82.0,-0.0,0.0,0,0,0,0,0,0
131.202.240.150,209.148.205.35,50794,443,TCP,43,0,4344,0,101.02325581395348,0.7420497428217201,129.274036,0.3326267310165824790988965487,33.60303533804730905129317692,1,0,0,42
209.148.205.35,131.202.240.150,443,50794,TCP,0,62,0,118726,1914.9354838709678,2.092579069084783,129.271939,0.4796091130032481372465527882,918.4205088778006184311971990,1,0,0,62
131.202.240.217,224.0.0.251,0,0,OTHER,10,0,863,0,86.3,0.8812908992306927,593.132694,0.01685963377361896021196228310,1.454986394663316266292345031,0,0,0,0
131.202.240.183,131.202.243.255,0,0,OTHER,265,0,17417,0,65.72452830188679,0.5182459893570566,600.077940,0.4416093016183864382683356099,29.02456304259410035969660874,0,0,0,0
131.202.240.97,131.202.243.255,0,0,OTHER,11,0,880,0,80.0,-0.0,600.009462,0.01833304422122596459987159336,1.466643537698077167989727469,0,0,0,0
131.202.240.94,224.0.0.251,0,0,OTHER,8,0,688,0,86.0,-0.0,32.538045,0.2458660315947070575383370451,21.14447871714480694829698588,0,0,0,0
131.202.240.102,131.202.243.255,0,0,OTHER,743,0,68507,0,92.20323014804845,0.014776503563312223,602.263500,1.233679278256112150246528305,113.7492144219266151775759281,0,0,0,0
131.202.240.102,224.0.0.252,0,0,OTHER,992,0,63488,0,64.0,-0.0,602.673978,1.645997730467798627934123281,105.3438547499391121877838900,0,0,0,0
131.202.240.79,131.202.243.255,0,0,OTHER,19,0,1748,0,92.0,-0.0,602.290164,0.03154625649838771067827034944,2.902255597851669382400872148,0,0,0,0
131.202.240.79,224.0.0.252,0,0,OTHER,24,0,1536,0,64.0,-0.0,602.290649,0.03984787085744709943188907122,2.550263734876614363640900558,0,0,0,0
131.202.240.225,224.0.0.251,0,0,OTHER,130,0,11181,0,86.00769230769231,0.06507307495461,594.471995,0.2186814536149848404549317752,18.80828717591650385481993984,0,0,0,0
131.202.240.70,131.202.243.255,0,0,OTHER,259,0,23979,0,92.58301158301158,0.036512411627868314,599.925692,0.4317201337661664938330395758,39.96995014509230253136083393,0,0,0,0
131.202.240.70,224.0.0.252,0,0,OTHER,344,0,22016,0,64.0,-0.0,598.821717,0.5744614636279131473115895695,36.76553367218644142794173245,0,0,0,0
131.202.240.93,255.255.255.255,0,0,OTHER,301,0,38227,0,127.0,-0.0,600.673367,0.5011042881813003705223374753,63.64024459902514705633685936,0,0,0,0
131.202.240.117,255.255.255.255,0,0,OTHER,301,0,39431,0,131.0,-0.0,600.684944,0.5010946303991265011629790408,65.64339658228557165235025435,0,0,0,0
131.202.240.157,131.202.243.255,0,0,OTHER,321,0,30973,0,96.48909657320873,0.36666572062226727,597.677336,0.5370790904475588145775030693,51.82227622564560487199066220,0,0,0,0
131.202.240.97,224.0.0.251,0,0,OTHER,130,0,11273,0,86.71538461538462,1.0697812278434262,593.014432,0.2192189481149086098464463678,19.00965540076434429845376849,0,0,0,0
131.202.240.84,224.0.0.251,0,0,OTHER,135,0,11605,0,85.96296296296296,0.18896356923367646,591.996380,0.2280419349861565031867255675,19.60316041121737940357000156,0,0,0,0
131.202.240.65,255.255.255.255,0,0,OTHER,42,0,7683,0,182.92857142857142,2.0305686275427908,573.004191,0.07329789320860307634294423511,13.40827889337374846530572758,0,0,0,0
131.202.240.65,131.202.243.255,0,0,OTHER,20,0,3360,0,168.0,-0.0,573.004268,0.03490375398041537798807460192,5.863830668709783501996533122,0,0,0,0
131.202.240.251,224.0.0.251,0,0,OTHER,132,0,11580,0,87.72727272727273,1.5590798539644781,596.776030,0.2211885085263897077099427066,19.40426461163327890364497381,0,0,0,0
131.202.242.93,131.202.243.255,0,0,OTHER,285,0,26220,0,92.0,-0.0,585.010395,0.4871708305285754794151991094,44.81971640862894410619831807,0,0,0,0
